Farm Name,Germination,Tillering,Stem elongation
Charan Das Plot 1,well and passed(95.7),well and passed(100),current(30)
Charan Das Plot 2,well and passed(92.4),well and passed(100),current(30)
Charan Das Plot 3,well and passed(94.1),well and passed(100),current(30)
Charan Das Plot 4,well and passed(96.4),well and passed(100),current(30)
Charan Das Plot 5,well and passed(96.4),well and passed(100),current(30)
Charan Das Plot 6,well and passed(94.4),well and passed(100),current(30)
Charan Das Plot 7,well and passed(92.4),well and passed(100),current(30)
Charan Das Plot 8,well and passed(96.8),well and passed(100),current(30)
Charan Das Plot 9,well and passed(95.6),well and passed(100),current(30)
Charan Das Plot 10,well and passed(95.2),well and passed(100),current(30)
Charan Das Plot 11,well and passed(94.4),well and passed(100),current(30)
Charan Das Plot 12,well and passed(93.2),well and passed(100),current(30)
Charan Das Plot 13,well and passed(96.4),well and passed(100),current(30)
Charan Das Plot 14,well and passed(95.6),well and passed(100),current(30)
Charan Das Plot 15,well and passed(95.2),well and passed(100),current(30)
Charan Das Plot 16,well and passed(88.2),well and passed(100),current(30)
Charan Das Plot 17,well and passed(94.73),well and passed(100),current(30)
Charan Das Plot 18,well and passed(92.2),well and passed(100),current(30)
Charan Das Plot 19,well and passed(91.2),well and passed(100),current(30)
Charan Das Plot 20,well and passed(92.4),well and passed(100),current(30)
Ramesh Plot 1,well and passed(93.2),well and passed(100),current(30)
Ramesh Plot 2,well and passed(94.01),well and passed(100),current(30)
Ramesh Plot 3,well and passed(96.4),well and passed(100),current(30)
Ramesh Plot 4,well and passed(92.4),well and passed(100),current(30)
Nain Singh Plot 1,well and passed(97.2),well and passed(100),current(30)
Nain Singh Plot 2,well and passed(92.2),well and passed(100),current(30)
Nain Singh Plot 3,well and passed(89.2),well and passed(100),current(30)
Nain Singh Plot 4,well and passed(97.2),well and passed(100),current(30)
Rakesh Plot 1,well and passed(89.2),well and passed(100),current(30)
Rakesh Plot 2,well and passed(91.6),well and passed(100),current(30)
Rakesh Plot 3,well and passed(92.4),well and passed(100),current(30)
Rakesh Plot 4,well and passed(93.2),well and passed(100),current(30)
Rakesh Plot 5,well and passed(93.4),well and passed(100),current(30)
Rakesh Plot 6,well and passed(95.2),well and passed(100),current(30)
Rakesh Plot 7,well and passed(85.2),well and passed(100),current(30)
Rakesh Plot 8,well and passed(89.2),well and passed(100),current(30)
Rakesh Plot 9,well and passed(93.2),well and passed(100),current(30)
Rakesh Plot 10,well and passed(94.4),well and passed(100),current(30)
Rakesh Plot 11,well and passed(97.2),well and passed(100),current(30)
Rajendra Plot 1,well and passed(85.2),well and passed(100),current(30)
Rajendra Plot 2,well and passed(91.2),well and passed(100),current(30)
Rajendra Plot 3,well and passed(94.3),well and passed(100),current(30)
Rajendra Plot 4,well and passed(92.4),well and passed(100),current(30)
Rajendra Plot 5,well and passed(92.33),well and passed(100),current(30)
Rajendra Plot 6,well and passed(91.2),well and passed(100),current(30)
Rajendra Plot 7,well and passed(94.21),well and passed(100),current(30)
Rajendra Plot 8,well and passed(95.2),well and passed(100),current(30)
Dinesh plot 1,well and passed(95.2),well and passed(100),current(30)
Dinesh plot 2,well and passed(98.2),well and passed(100),current(30)
Jay Dev Plot 1,well and passed(95.2),well and passed(100),current(30)
Jay Dev Plot 2,well and passed(93.2),well and passed(100),current(30)
Jay Dev Plot 3,well and passed(93.2),well and passed(100),current(30)
Dev Prakash Plot 1,well and passed(94.24),well and passed(100),current(30)
Dev Prakash Plot 2,well and passed(90.2),well and passed(100),current(30)
Dev Prakash Plot 3,well and passed(95.2),well and passed(100),current(30)
Dev Prakash Plot 4,well and passed(98.4),well and passed(100),current(30)
Mahendra Plot 1,well and passed(96.9),well and passed(100),current(30)
Som Dev Plot 1,well and passed(85.53),well and passed(100),current(30)
Jagdev plot 1,well and passed(96.45),well and passed(100),current(30)
